,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
167,DAL,EDM,1,0,3,2,35,25,0.0,66.7,58.5,2016-01-21,1
168,NJD,LAK,1,0,2,1,24,23,0.0,100.0,44.2,2016-03-12,0
169,FLA,TOR,1,0,4,3,36,26,0.0,50.0,60.5,2016-04-04,0
170,PHI,WSH,1,0,1,1,34,30,33.3,66.7,59.4,2016-03-30,1
171,CBJ,DAL,1,0,6,3,33,43,0.0,100.0,53.3,2015-12-29,1
172,LAK,TOR,1,0,2,1,41,26,0.0,75.0,43.1,2016-01-07,1
173,NYI,CGY,1,0,4,0,35,29,33.3,100.0,52.5,2015-10-26,1
174,PIT,COL,1,0,4,2,33,26,0.0,100.0,50.0,2015-12-09,0
175,BUF,VAN,1,0,3,2,22,37,50.0,100.0,60.7,2015-11-07,1
176,DAL,VAN,1,0,4,3,29,32,0.0,50.0,58.6,2015-10-29,1
177,NSH,SJS,1,0,6,2,30,30,0.0,60.0,42.6,2016-02-06,1
178,TOR,ANA,1,0,4,0,38,39,0.0,100.0,46.9,2016-01-06,0
179,WSH,NSH,1,0,5,3,23,26,33.3,83.3,54.7,2016-02-09,0
180,DAL,CBJ,1,0,5,1,34,35,0.0,50.0,56.1,2015-12-15,1
181,CAR,NJD,1,0,3,2,23,25,20.0,100.0,56.0,2016-03-27,1
182,NYR,TBL,1,0,3,2,28,41,16.7,83.3,52.7,2016-04-05,1
183,VAN,TBL,1,0,2,1,19,27,0.0,90.0,32.7,2015-12-22,0
184,CHI,COL,1,0,4,3,43,30,33.3,66.7,45.6,2015-12-31,0
185,OTT,MTL,1,0,5,0,44,30,0.0,100.0,47.4,2016-03-19,1
186,VAN,LAK,1,0,3,0,26,15,0.0,100.0,49.1,2015-10-13,0
187,BOS,PHI,1,0,3,2,31,36,50.0,75.0,42.2,2016-01-25,0
188,NSH,EDM,1,0,4,1,25,24,50.0,100.0,55.9,2016-01-23,0
189,TBL,NYR,1,0,2,1,28,21,0.0,100.0,45.3,2015-11-19,1
190,NYI,FLA,1,0,3,2,28,25,0.0,50.0,47.2,2016-03-14,1
191,CAR,PHI,1,0,3,1,18,37,0.0,100.0,47.3,2016-02-23,1
192,BOS,MTL,1,0,4,1,24,39,0.0,100.0,48.4,2016-01-19,0
193,ARI,MIN,1,0,2,1,21,28,16.7,100.0,59.7,2015-12-11,1
194,TOR,PIT,1,0,2,2,36,41,0.0,80.0,55.2,2015-12-30,0
195,SJS,STL,1,0,3,1,32,27,0.0,100.0,36.7,2016-02-04,0
196,NYI,TBL,1,0,3,2,22,31,66.7,100.0,41.5,2015-11-28,0
197,COL,STL,1,0,4,3,33,38,0.0,50.0,58.1,2016-01-06,1
198,CBJ,CHI,1,0,5,4,25,26,50.0,80.0,53.3,2016-04-09,1
199,NYR,COL,1,0,2,1,33,30,50.0,80.0,49.1,2015-11-06,0
200,TBL,TOR,1,0,2,1,28,32,0.0,100.0,38.0,2016-02-29,0
201,SJS,DAL,1,0,4,3,39,35,100.0,100.0,54.2,2016-01-16,1
202,SJS,FLA,1,0,1,1,18,20,0.0,100.0,48.2,2016-02-18,0
203,VAN,CAR,1,0,3,2,22,40,0.0,66.7,41.4,2016-01-15,0
204,DAL,CGY,1,0,2,1,30,24,0.0,100.0,51.8,2016-01-25,1
205,COL,CGY,1,0,3,3,28,33,0.0,100.0,41.4,2016-03-18,0
206,BUF,NYR,1,0,4,3,24,36,0.0,100.0,51.7,2016-04-02,0
207,DAL,ARI,1,0,4,1,33,32,33.3,100.0,50.0,2016-03-31,1
208,COL,ANA,1,0,3,0,25,35,0.0,100.0,49.2,2015-10-16,0
209,WSH,NYR,1,0,4,3,31,26,33.3,100.0,52.5,2016-01-09,0
210,WSH,BOS,1,0,3,2,29,27,33.3,75.0,50.9,2016-01-05,0
211,CAR,NJD,1,0,3,1,19,30,50.0,100.0,60.9,2016-03-01,0
212,MIN,CBJ,1,0,3,2,23,29,50.0,50.0,56.9,2015-10-22,1
213,TOR,STL,1,0,4,1,33,40,20.0,0.0,54.3,2016-01-02,1
214,NYR,DET,1,0,3,2,20,33,0.0,75.0,49.2,2016-04-09,1
215,MIN,MTL,1,0,2,1,22,25,0.0,100.0,45.9,2015-12-22,1
216,VAN,ANA,1,0,1,1,25,29,0.0,100.0,53.7,2015-10-12,0
217,SJS,CGY,1,0,5,4,18,35,100.0,25.0,39.7,2016-01-11,0
218,TBL,PIT,1,0,4,2,20,39,0.0,100.0,35.5,2016-02-20,0
219,COL,STL,1,0,3,1,18,43,0.0,0.0,38.8,2015-12-13,0
220,CGY,DAL,1,0,3,3,32,29,0.0,100.0,50.9,2015-12-01,1
221,ARI,PHI,1,0,2,1,17,35,33.3,80.0,58.1,2016-03-26,1
222,CBJ,COL,1,0,2,1,21,30,0.0,100.0,52.7,2016-01-16,1
223,PIT,MIN,1,0,3,1,32,26,33.3,100.0,55.6,2015-12-26,0
224,BOS,NYI,1,0,5,3,26,26,0.0,50.0,48.1,2015-10-23,0
225,NYI,CAR,1,0,4,3,31,36,0.0,100.0,39.6,2016-03-26,0
226,DET,OTT,1,0,4,3,37,25,0.0,50.0,39.4,2015-11-16,0
227,WSH,MTL,1,0,3,1,33,30,0.0,100.0,43.1,2015-12-26,1
228,TOR,COL,1,0,5,1,30,35,80.0,100.0,45.0,2015-11-17,1
229,CHI,CGY,1,0,4,1,41,26,0.0,100.0,56.1,2015-11-15,1
230,CGY,WPG,1,0,4,1,21,29,33.3,100.0,66.1,2016-03-16,1
231,CBJ,PIT,1,0,2,1,43,25,0.0,75.0,53.8,2015-11-27,1
232,MIN,ANA,1,0,3,0,30,15,0.0,100.0,58.7,2015-10-24,1
233,PHI,NSH,1,0,6,3,19,40,33.3,85.7,40.4,2016-02-04,0
234,PHI,CHI,1,0,3,2,29,26,50.0,100.0,61.5,2016-03-16,0
235,PHI,NYI,1,0,4,1,27,24,0.0,100.0,54.0,2016-03-21,0
236,COL,WPG,1,0,2,1,34,37,50.0,100.0,54.2,2016-01-18,0
237,WSH,CHI,1,0,4,1,24,27,50.0,100.0,50.0,2015-10-15,1
238,CBJ,CGY,1,0,2,1,18,31,0.0,100.0,46.5,2016-02-05,0
239,LAK,ANA,1,0,2,1,31,20,0.0,100.0,49.3,2016-04-07,1
240,CHI,VAN,1,0,4,0,30,30,50.0,100.0,64.4,2015-12-13,1
241,CGY,WSH,1,0,3,2,29,36,0.0,100.0,49.2,2015-11-13,0
