,team,opponent,hits,blocked_shots,giveaways,takeaways,save%,date
32,SJS,ARI,13,12,5,2,4.9,2016-11-01
33,WPG,MIN,13,11,5,2,17.6,2016-10-15
34,CAR,NSH,13,11,11,8,8.0,2016-11-05
35,VAN,STL,13,9,6,8,7.7,2016-10-18
36,BUF,OTT,13,13,6,3,6.3,2016-11-05
37,NYR,STL,13,18,17,10,17.2,2016-11-01
38,BOS,CBJ,12,11,10,5,15.6,2016-11-10
39,OTT,CGY,12,18,7,10,6.1,2016-10-28
40,COL,ARI,12,23,4,9,7.4,2016-11-08
41,CHI,TOR,12,11,10,6,11.4,2016-10-22
42,NSH,CAR,12,20,15,8,7.4,2016-11-05
43,PIT,SJS,12,22,26,8,20.0,2016-11-05
44,CBJ,MTL,12,17,5,6,25.0,2016-11-04
45,TOR,MIN,12,20,2,3,6.1,2016-10-20
46,STL,NSH,12,14,3,10,4.2,2016-11-10
47,ANA,CBJ,11,15,1,2,6.3,2016-11-09
48,DAL,CBJ,11,18,12,7,0.0,2016-10-22
49,VAN,CGY,11,8,7,3,3.2,2016-10-15
0,FLA,WSH,11,15,12,10,8.3,2016-11-05
1,SJS,ANA,11,18,22,7,5.6,2016-10-25
2,CHI,CGY,11,13,4,2,6.1,2016-10-24
3,SJS,CBJ,11,17,0,2,7.9,2016-10-15
4,WSH,CGY,11,13,7,12,10.3,2016-10-30
5,DET,FLA,11,8,6,5,4.5,2016-10-15
6,CHI,NSH,11,8,5,2,8.3,2016-10-14
7,EDM,CGY,10,15,4,7,17.2,2016-10-14
8,BUF,CGY,10,12,8,6,14.3,2016-10-18
9,CHI,CBJ,10,9,1,1,5.9,2016-10-21
10,MIN,DAL,10,21,5,9,26.7,2016-10-29
11,DAL,LAK,10,20,13,4,15.0,2016-10-20
12,MIN,COL,10,9,5,8,0.0,2016-11-05
13,STL,DAL,10,13,7,2,6.7,2016-11-03
14,CGY,EDM,10,11,9,5,8.6,2016-10-14
15,FLA,BUF,10,5,9,2,0.0,2016-10-29
16,BUF,FLA,9,9,1,3,12.0,2016-10-29
17,CAR,CGY,9,14,7,15,12.5,2016-10-20
18,CHI,STL,8,13,5,4,6.7,2016-11-09
19,MIN,BUF,7,11,3,3,18.2,2016-10-27
20,NSH,PIT,6,18,8,5,16.7,2016-10-22
21,CHI,DAL,5,18,6,4,9.4,2016-11-05
