,home_team,away_team,date,home_team_win,spread,home_spread,home_wins,home_goals,home_shots,home_PP%,home_FOW%,home_PIM,home_hits,home_blocked,home_giveaways,home_takeaways,home_save%,home_shot%,home_PDO,home_corsi,away_spread,away_wins,away_goals,away_shots,away_PP%,away_FOW%,away_PIM,away_hits,away_blocked,away_giveaways,away_takeaways,away_save%,away_shot%,away_PDO,away_corsi
63,VAN,OTT,2016-10-25,0,-3,-1.0,0.0,2.5,22.0,41.65,61.15,10.5,34.0,8.5,9.0,6.5,10.25,0.102441150828,10.3524411508,12.0,0.0,0.5,4.0,35.0,25.0,48.4,11.0,19.0,19.0,14.0,8.5,10.15,0.10119047619,10.2511904762,0.0
64,ANA,NSH,2016-10-26,1,5,0.5,0.5,2.5,28.5,35.0,51.75,12.5,24.0,13.5,15.0,6.0,8.2,0.0818318318318,8.28183183183,17.0,1.0,0.5,4.0,31.5,26.8,44.7,9.5,12.0,14.5,6.5,7.0,14.15,0.141472868217,14.2914728682,2.5
65,EDM,WSH,2016-10-26,1,3,2.5,1.0,3.0,27.5,0.0,50.7,5.0,25.5,18.5,11.5,9.5,6.5,0.0652173913043,6.5652173913,-6.5,0.0,0.5,3.0,28.5,12.5,55.3,4.0,19.0,10.5,12.0,13.0,7.1,0.0714285714286,7.17142857143,0.5
66,NYI,MTL,2016-10-26,0,-1,2.0,1.0,4.5,32.0,0.0,43.35,16.0,25.0,19.0,8.0,5.5,13.95,0.139296187683,14.0892961877,5.0,2.0,1.0,3.5,31.0,20.85,46.85,8.0,31.5,11.0,11.0,5.0,9.3,0.0930735930736,9.39307359307,-3.5
67,NYR,BOS,2016-10-26,1,3,1.5,1.0,3.5,26.0,25.0,51.25,4.0,22.0,20.5,20.5,9.5,9.3,0.0934065934066,9.39340659341,-0.5,-3.5,0.0,1.0,24.0,8.35,44.8,14.5,28.5,7.0,11.0,8.5,4.75,0.047619047619,4.79761904762,-7.0
68,BUF,MIN,2016-10-27,0,-4,-0.5,0.0,2.0,26.0,47.5,50.5,9.0,16.5,13.0,10.0,3.5,8.65,0.0865853658537,8.73658536585,4.5,1.0,0.5,4.0,31.0,0.0,49.25,18.5,28.5,15.5,12.5,7.0,9.1,0.0909090909091,9.19090909091,-1.0
69,LAK,NSH,2016-10-27,1,1,0.5,1.0,3.0,30.5,16.65,56.05,9.5,32.0,8.5,13.0,5.5,9.85,0.0983870967742,9.94838709677,7.5,-0.5,0.5,3.0,29.5,50.0,47.3,7.0,13.0,17.0,11.0,4.0,19.9,0.198717948718,20.0987179487,-4.0
70,MTL,TBL,2016-10-27,1,2,1.5,1.0,3.0,31.0,37.5,52.85,2.0,26.0,22.0,14.5,5.0,8.1,0.0811688311688,8.18116883117,0.0,3.5,1.0,5.5,29.5,12.5,55.7,8.0,22.0,12.0,11.0,9.5,5.3,0.0527408637874,5.35274086379,6.0
71,PHI,ARI,2016-10-27,0,-1,-1.0,0.5,2.0,36.5,50.0,52.1,5.0,26.0,15.0,14.5,3.5,8.2,0.0820399113082,8.28203991131,8.5,-1.5,0.0,2.5,30.0,58.35,50.4,4.0,17.0,18.5,15.0,6.0,12.9,0.129120879121,13.0291208791,0.5
72,PIT,NYI,2016-10-27,1,2,-1.5,0.5,2.0,28.5,37.5,43.3,6.0,16.5,19.0,5.5,5.0,15.15,0.151515151515,15.3015151515,-2.5,1.0,0.5,4.0,30.5,25.0,53.35,12.0,25.5,25.5,11.0,6.5,12.65,0.126623376623,12.7766233766,1.5
73,SJS,CBJ,2016-10-27,1,2,-1.0,0.5,1.0,33.0,10.0,50.95,16.5,14.0,16.0,15.5,5.0,7.5,0.0746527777778,7.57465277778,9.0,1.0,0.5,2.5,23.5,0.0,60.15,5.5,22.0,13.5,14.0,5.0,5.0,0.05,5.05,7.5
74,STL,DET,2016-10-27,0,0,-0.5,0.5,3.5,32.0,12.5,52.1,10.0,16.0,8.0,8.0,6.0,9.5,0.0949074074074,9.59490740741,-9.5,2.5,1.0,3.5,28.5,0.0,55.2,10.0,16.5,13.5,8.0,5.5,12.7,0.126875,12.826875,-2.0
75,TOR,FLA,2016-10-27,1,1,-2.0,0.0,3.5,38.5,12.5,58.95,6.0,19.0,10.0,10.0,8.0,9.2,0.0920265780731,9.29202657807,10.0,1.0,0.5,3.5,30.0,33.35,49.0,9.5,21.5,12.0,5.0,6.0,13.4,0.133971291866,13.5339712919,5.0
76,WPG,DAL,2016-10-27,1,3,-2.0,0.0,1.0,30.5,8.35,49.85,7.0,26.0,13.5,9.5,6.5,5.75,0.0576923076923,5.80769230769,-2.5,-1.0,0.5,1.5,29.0,8.35,60.75,9.5,17.0,19.0,10.0,6.5,5.75,0.0576923076923,5.80769230769,1.0
77,ANA,CBJ,2016-10-28,0,-4,2.0,0.5,3.5,23.0,47.5,46.9,15.5,15.5,17.0,18.0,5.0,14.35,0.143162393162,14.4931623932,6.5,-1.5,0.0,1.5,23.0,50.0,51.9,4.0,26.0,15.0,19.0,5.5,10.15,0.101724137931,10.2517241379,6.5
78,CAR,NYR,2016-10-28,1,1,-2.5,0.0,2.5,30.5,12.5,48.15,10.0,14.5,18.0,8.0,5.5,19.1,0.191111111111,19.2911111111,-4.5,2.0,1.0,4.0,28.5,41.65,45.05,3.0,17.0,18.0,18.5,12.5,13.8,0.138337468983,13.938337469,-0.5
79,CGY,OTT,2016-10-28,1,3,1.5,1.0,3.0,30.5,12.5,49.35,10.0,13.5,9.0,2.5,2.5,5.15,0.0511363636364,5.20113636364,-2.0,0.0,0.5,2.0,28.0,0.0,53.9,5.0,18.5,12.0,10.0,7.0,1.8,0.0178571428571,1.81785714286,-6.5
80,COL,WPG,2016-10-28,0,-1,0.5,0.5,3.0,22.0,8.35,50.85,10.0,22.5,5.5,6.5,8.5,6.6,0.0657894736842,6.66578947368,10.5,1.0,0.5,3.0,33.0,22.65,52.95,11.0,20.0,18.5,10.5,7.5,11.3,0.113247863248,11.4132478632,-3.5
81,NJD,CHI,2016-10-28,0,-1,1.5,1.0,3.5,33.5,33.35,51.25,6.0,20.5,8.0,10.0,3.5,10.3,0.102678571429,10.4026785714,3.5,0.0,0.5,3.0,34.0,0.0,49.3,7.0,11.5,12.0,7.0,4.0,8.75,0.0874458874459,8.83744588745,1.5
82,VAN,EDM,2016-10-28,0,-2,-2.5,0.0,1.0,20.5,25.0,62.95,3.0,28.0,9.0,8.0,5.0,5.4,0.0540540540541,5.45405405405,6.0,3.0,1.0,3.5,30.5,12.5,48.9,6.0,29.0,10.0,11.5,7.5,6.9,0.0689655172414,6.96896551724,-3.5
83,ARI,COL,2016-10-29,0,-1,-0.5,0.5,4.0,28.0,45.85,52.15,8.5,19.5,12.5,10.5,3.5,13.4,0.133928571429,13.5339285714,5.5,-2.0,0.0,1.0,32.5,8.35,57.75,8.5,17.0,11.0,6.5,7.5,6.6,0.0657894736842,6.66578947368,13.0
84,BUF,FLA,2016-10-29,1,3,-2.0,0.0,1.5,31.5,37.5,58.6,6.0,20.0,11.5,12.0,5.5,3.65,0.0365853658537,3.68658536585,16.0,-1.0,0.0,2.0,26.5,25.0,49.9,8.0,23.0,17.0,6.0,8.0,12.15,0.121753246753,12.2717532468,-1.5
