,team,opponent,PIM,penalties,date
0,WPG,NSH,84,18,2015-11-14
1,NSH,WPG,72,17,2015-11-14
2,OTT,BOS,58,14,2015-12-29
3,BOS,OTT,52,11,2015-12-29
4,BUF,MTL,52,14,2016-03-16
5,NJD,VAN,49,12,2015-11-08
6,MTL,BUF,48,12,2016-03-16
7,ANA,LAK,44,11,2016-03-05
8,ARI,ANA,44,15,2016-03-03
9,WSH,PIT,41,11,2016-03-20
10,ARI,BUF,40,8,2016-01-18
11,ARI,CBJ,38,11,2015-11-14
12,ANA,ARI,38,12,2016-03-03
13,CGY,ARI,38,7,2016-03-28
14,FLA,BUF,37,10,2016-02-09
15,BUF,ARI,37,8,2016-01-18
16,SJS,VAN,36,9,2016-03-05
17,LAK,ANA,36,7,2016-03-05
18,WPG,COL,36,11,2016-02-06
19,OTT,PHI,35,9,2015-11-21
20,WPG,SJS,35,9,2016-01-12
21,VAN,NJD,34,10,2015-11-08
22,EDM,NYI,34,10,2016-02-07
23,EDM,SJS,33,7,2016-03-24
24,ARI,PHI,33,7,2016-03-26
25,PHI,OTT,33,8,2015-11-21
26,CBJ,TBL,32,9,2015-12-26
27,COL,WPG,32,9,2016-02-06
28,EDM,ARI,32,8,2016-03-12
29,LAK,COL,32,9,2015-10-18
30,COL,SJS,32,8,2016-01-26
31,CBJ,TBL,32,8,2016-03-13
32,CBJ,OTT,32,9,2015-11-19
33,STL,MTL,32,12,2016-01-16
34,PHI,CBJ,31,9,2015-12-19
35,PHI,SJS,31,10,2015-12-30
36,BUF,FLA,31,7,2016-02-09
37,VAN,BOS,31,6,2015-12-05
38,ANA,TOR,31,10,2016-01-06
39,FLA,EDM,31,6,2016-01-10
40,PHI,BUF,31,10,2015-10-30
41,NJD,STL,30,8,2016-01-12
42,BUF,PHI,30,8,2015-10-30
43,NSH,MIN,30,8,2015-11-21
44,EDM,PHI,30,10,2016-03-03
45,OTT,DET,30,7,2015-10-31
46,CBJ,SJS,30,8,2015-11-22
47,CBJ,ARI,30,11,2015-11-14
48,TBL,TOR,30,11,2016-03-28
49,VAN,TBL,29,13,2015-12-22
0,BOS,MIN,29,9,2015-11-19
1,BUF,OTT,29,9,2016-03-18
2,PHI,NYR,29,5,2016-02-06
3,ARI,BOS,28,6,2015-10-27
4,COL,LAK,28,7,2015-10-18
5,NJD,OTT,28,7,2015-10-22
6,CBJ,BUF,28,7,2016-02-19
7,PHI,ARI,28,6,2016-03-26
8,ANA,SJS,28,7,2015-11-07
9,BUF,PHI,28,7,2016-02-11
10,ARI,STL,28,10,2016-04-04
11,CGY,ANA,28,6,2016-03-30
12,OTT,NSH,28,11,2015-10-17
13,OTT,BUF,27,8,2016-03-18
14,TBL,OTT,27,8,2015-12-20
15,NYR,TBL,27,8,2016-04-05
16,CHI,MIN,27,8,2016-02-21
17,ANA,PHI,27,8,2015-12-27
18,DET,MTL,27,8,2016-03-29
19,STL,EDM,27,8,2016-03-16
20,TBL,NYR,27,8,2016-04-05
21,BOS,WPG,27,9,2016-02-11
22,ARI,COL,27,7,2015-12-27
23,OTT,COL,27,8,2015-11-25
24,ARI,SJS,27,8,2016-04-09
25,LAK,CBJ,26,10,2015-11-05
26,BOS,NSH,26,10,2015-12-07
27,VAN,SJS,26,6,2016-03-29
28,CBJ,LAK,26,10,2015-11-05
29,BOS,FLA,25,7,2015-10-30
30,COL,WSH,25,7,2015-11-21
31,PHI,CAR,25,7,2015-12-15
32,PHI,MTL,25,7,2016-02-02
33,ANA,CGY,25,7,2015-12-29
34,LAK,ARI,25,7,2015-12-26
35,DAL,NYI,25,6,2016-01-03
36,NJD,NYI,25,6,2015-12-13
37,PHI,BUF,25,8,2016-02-11
38,BOS,VAN,25,7,2015-12-05
39,WSH,FLA,25,7,2015-12-10
40,ANA,CHI,25,7,2015-10-26
41,CBJ,PHI,24,8,2016-03-05
42,PHI,NYI,24,5,2015-11-25
43,NYR,PHI,24,8,2016-02-14
44,PHI,NJD,24,8,2016-02-16
45,MTL,TBL,24,5,2016-04-09
46,NJD,TBL,24,8,2016-02-26
47,ARI,EDM,24,8,2016-03-12
48,SJS,ANA,24,5,2015-11-07
49,ARI,MIN,24,8,2015-10-15
0,CBJ,DAL,23,6,2015-12-15
1,PHI,ANA,23,6,2015-12-27
2,DAL,PIT,23,6,2015-10-22
3,CBJ,WPG,23,6,2015-12-10
4,EDM,OTT,23,7,2016-02-04
5,NYI,VAN,23,6,2016-01-17
6,NYR,OTT,23,6,2015-11-14
7,PIT,NYI,23,10,2016-04-02
8,STL,NJD,23,6,2016-01-12
9,FLA,BOS,23,6,2016-03-07
10,CBJ,PHI,23,6,2016-03-22
11,NYR,NJD,23,6,2016-02-23
12,WPG,BOS,23,7,2016-02-11
13,PIT,PHI,23,6,2016-04-09
14,ANA,PHI,23,9,2016-02-09
15,DAL,STL,22,8,2015-12-12
16,PIT,WSH,22,7,2016-03-20
17,TOR,FLA,22,8,2016-01-26
18,ARI,CHI,22,7,2016-02-04
19,TBL,FLA,22,7,2015-11-14
20,CAR,BUF,22,7,2016-03-22
21,OTT,PHI,22,7,2016-04-02
22,OTT,TBL,22,4,2015-12-20
23,PHI,NYR,22,8,2016-02-14
24,NJD,PHI,22,7,2016-02-16
25,CAR,NJD,22,7,2015-12-03
26,LAK,VAN,22,8,2015-12-28
27,LAK,STL,22,4,2016-01-09
28,EDM,CGY,22,7,2016-04-02
29,ANA,CAR,22,4,2015-12-11
30,TOR,EDM,22,7,2016-02-11
31,MTL,ARI,21,5,2016-02-15
32,NSH,WPG,21,9,2016-01-14
33,COL,DAL,21,5,2016-04-07
34,DAL,SJS,21,9,2016-03-26
35,NYR,BOS,21,5,2015-11-27
36,NYI,CBJ,21,9,2015-10-20
37,NJD,NYI,21,5,2016-02-19
38,STL,CHI,21,5,2016-04-07
39,OTT,EDM,21,6,2016-02-04
40,STL,SJS,21,5,2016-02-22
41,ARI,CHI,21,5,2016-04-05
42,FLA,NYI,21,5,2016-03-14
43,DAL,CBJ,21,5,2015-12-15
44,BOS,CBJ,21,5,2016-02-22
45,SJS,CGY,21,9,2016-03-07
46,ANA,TOR,20,6,2016-03-24
47,NSH,NYR,20,6,2015-11-23
48,NYI,PHI,20,7,2015-11-25
49,PHI,CBJ,20,5,2016-03-05
0,CBJ,PIT,20,6,2015-12-21
1,STL,WPG,20,10,2015-10-18
2,TOR,BUF,20,6,2016-03-19
3,CBJ,CHI,20,6,2016-04-09
4,NYI,MTL,20,6,2015-11-22
5,DET,OTT,20,6,2015-10-31
6,VAN,LAK,20,7,2015-12-28
7,STL,DAL,20,7,2015-12-27
8,ANA,NYR,20,7,2015-12-22
9,CGY,ARI,20,10,2016-02-12
10,STL,DAL,20,7,2015-12-12
11,NSH,WSH,20,6,2016-03-18
12,LAK,ARI,20,6,2016-01-23
13,SJS,DET,20,6,2016-01-07
14,WPG,DET,20,6,2016-03-10
15,MTL,FLA,20,6,2016-03-15
16,NSH,OTT,20,7,2015-10-17
17,MTL,CBJ,20,3,2015-12-01
18,FLA,OTT,20,6,2015-12-08
19,MIN,BOS,19,8,2015-11-19
20,CHI,MIN,19,4,2016-03-29
21,COL,ANA,19,4,2016-04-09
22,NYI,PIT,19,8,2016-04-02
23,TBL,OTT,19,8,2016-02-08
24,EDM,WPG,19,8,2016-02-13
25,STL,MIN,19,8,2015-10-31
26,STL,CHI,19,4,2016-03-09
27,WPG,TBL,19,8,2016-02-18
28,DET,CBJ,19,8,2016-03-08
29,TOR,LAK,19,4,2016-01-07
30,WSH,BUF,19,8,2016-01-16
31,NYR,PHI,19,8,2016-02-06
32,CBJ,BUF,19,8,2015-10-12
33,PHI,NYR,19,4,2015-11-28
34,CHI,STL,19,8,2015-11-14
35,CBJ,DET,19,8,2016-03-08
36,TBL,MTL,19,8,2016-04-09
37,ARI,LAK,19,8,2015-12-26
38,ANA,NSH,19,8,2015-11-17
39,CGY,NYI,19,5,2016-02-25
40,TBL,DAL,19,4,2015-10-15
41,TBL,ARI,19,8,2016-03-19
42,STL,MTL,19,4,2015-10-20
43,NYI,CGY,19,5,2016-02-25
44,PHI,ANA,19,8,2016-02-09
45,BOS,PHI,19,4,2015-10-21
46,CBJ,CHI,19,8,2015-10-17
47,BOS,OTT,19,4,2015-12-27
48,CBJ,FLA,19,8,2015-12-27
49,WSH,COL,19,4,2015-11-21
0,CGY,SJS,19,4,2016-03-07
1,WPG,VAN,19,8,2015-11-18
2,ANA,OTT,18,6,2016-03-26
3,WSH,BOS,18,6,2016-03-05
4,BUF,TOR,18,5,2016-03-31
5,WPG,STL,18,9,2015-10-18
6,EDM,SJS,18,6,2015-12-09
7,CAR,OTT,18,5,2016-02-18
8,PHI,FLA,18,8,2015-10-12
9,PHI,EDM,18,5,2016-03-03
10,OTT,WPG,18,5,2016-03-30
11,MTL,BOS,18,5,2015-11-07
12,NSH,FLA,18,6,2016-02-13
13,FLA,TBL,18,5,2015-11-14
14,WSH,TBL,18,6,2015-12-12
15,COL,NSH,18,6,2016-03-05
16,BUF,TOR,18,5,2016-03-19
17,MIN,ARI,18,9,2015-10-15
18,NSH,BOS,18,6,2015-12-07
19,CGY,SJS,18,9,2016-02-11
20,WPG,OTT,18,5,2016-03-30
21,NYI,EDM,18,6,2016-02-07
22,PHI,DET,18,5,2016-01-17
23,WSH,LAK,18,6,2016-03-09
24,FLA,DET,18,8,2016-02-04
25,BUF,MTL,18,6,2016-03-10
26,ARI,CGY,18,9,2016-02-12
27,OTT,ANA,18,5,2016-03-26
28,ANA,CGY,18,5,2016-03-30
29,VAN,ANA,18,5,2015-11-30
30,OTT,MTL,18,9,2015-10-11
31,ARI,DAL,18,6,2016-03-31
32,NYR,ANA,18,6,2015-12-22
33,DAL,STL,18,6,2015-12-27
34,NJD,CAR,18,6,2015-12-03
35,NYI,TBL,18,6,2015-11-28
36,COL,ARI,17,7,2015-12-27
37,WPG,MIN,17,7,2015-11-10
38,BOS,FLA,17,6,2016-03-07
39,VAN,MIN,17,6,2015-12-15
40,ANA,WPG,17,7,2016-01-03
41,DAL,BOS,17,7,2016-02-20
42,WPG,EDM,17,7,2016-02-13
43,ANA,STL,17,7,2015-10-29
44,VAN,WPG,17,7,2015-11-18
45,ANA,NYI,17,7,2015-11-13
46,LAK,ANA,17,7,2016-04-07
47,DET,BUF,17,7,2015-12-01
48,BOS,NYR,17,6,2016-03-23
49,CBJ,FLA,17,7,2016-02-27
0,PIT,CBJ,17,7,2015-11-27
1,NJD,ARI,17,7,2016-01-16
2,FLA,NYR,17,7,2016-01-02
3,DET,TBL,17,7,2016-03-22
4,STL,CHI,17,7,2015-11-14
5,PHI,NJD,17,7,2015-12-04
6,BOS,TOR,17,7,2016-01-16
7,WSH,WPG,17,7,2015-12-05
8,MTL,ANA,17,7,2016-03-02
9,COL,BOS,17,3,2015-11-12
10,OTT,CBJ,17,7,2015-11-19
11,NSH,ANA,17,7,2015-11-17
12,LAK,CAR,17,7,2015-11-22
13,WPG,PHI,17,7,2015-11-07
14,ARI,FLA,17,7,2016-03-05
15,CBJ,PIT,17,7,2015-11-27
16,CBJ,COL,17,7,2015-10-24
17,ARI,TBL,17,7,2016-03-19
18,PHI,WPG,17,7,2015-11-07
19,TBL,WPG,17,7,2016-02-18
20,STL,NSH,17,7,2016-02-27
21,BUF,WSH,17,7,2016-01-16
22,ANA,ARI,17,7,2015-10-14
23,ANA,LAK,17,7,2016-04-07
24,DET,FLA,17,7,2016-02-08
25,ARI,BOS,17,7,2015-10-17
26,LAK,VAN,17,7,2016-03-07
27,NSH,BUF,17,3,2015-11-28
28,MTL,FLA,17,7,2015-12-29
29,WPG,NYI,16,8,2015-10-12
30,VAN,EDM,16,4,2016-04-09
31,TOR,WSH,16,8,2015-11-07
32,PIT,TBL,16,8,2016-02-20
33,BOS,MTL,16,8,2016-01-01
34,NYI,TBL,16,4,2016-03-25
35,TBL,NYI,16,4,2016-03-25
36,BOS,NYI,16,8,2015-11-08
37,FLA,TOR,16,5,2016-01-26
38,MTL,DET,16,5,2016-03-29
39,ARI,LAK,16,8,2016-02-02
40,CHI,ARI,16,8,2015-12-29
41,PIT,CBJ,16,5,2015-12-21
42,CGY,NYI,16,4,2015-10-26
43,NSH,CHI,16,5,2015-12-10
44,NYI,CBJ,16,8,2016-01-12
45,TBL,NYI,16,5,2015-11-28
46,NJD,VAN,16,7,2015-11-22
47,MTL,BUF,16,4,2016-02-12
48,DET,FLA,16,8,2015-11-29
49,NSH,WPG,16,4,2016-03-08
0,MIN,NSH,16,5,2015-11-21
1,NJD,DET,16,8,2015-12-22
2,CGY,BUF,16,8,2016-03-03
3,SJS,CBJ,16,5,2015-11-22
4,ARI,CGY,16,4,2016-03-28
5,BOS,TOR,16,8,2015-11-23
6,BUF,CBJ,16,8,2016-02-19
7,SJS,CGY,16,8,2015-12-08
8,DET,NJD,16,8,2015-12-22
9,CBJ,NYI,16,6,2016-01-12
10,NJD,TBL,16,8,2016-04-02
11,FLA,CHI,16,8,2015-10-22
12,NSH,COL,16,5,2016-03-05
13,TBL,SJS,16,8,2015-12-05
14,BOS,LAK,16,5,2016-02-09
15,DAL,ARI,16,5,2016-03-31
16,OTT,ANA,16,5,2016-01-13
17,FLA,WSH,16,8,2016-02-02
18,LAK,BOS,16,5,2016-02-09
19,FLA,NSH,16,5,2016-02-13
20,EDM,CBJ,16,5,2016-03-04
21,CBJ,EDM,16,5,2016-03-04
22,LAK,ANA,16,5,2016-01-17
23,NYR,TOR,16,8,2016-02-18
24,MTL,DAL,16,8,2015-12-19
25,SJS,WPG,16,5,2016-01-12
26,STL,MIN,16,8,2016-02-06
27,LAK,STL,16,8,2016-02-18
28,EDM,NSH,16,4,2016-01-23
29,TBL,SJS,16,4,2016-02-16
30,ANA,COL,16,7,2016-04-09
31,STL,LAK,16,8,2016-02-18
32,TOR,NYR,16,3,2016-02-18
33,TOR,PIT,16,8,2015-12-30
34,STL,ANA,15,6,2016-01-08
35,WPG,NSH,15,6,2016-01-14
36,SJS,PHI,15,6,2015-12-30
37,WPG,STL,15,6,2015-11-16
38,STL,VAN,15,5,2015-10-16
39,BOS,ANA,15,6,2016-01-26
40,STL,LAK,15,6,2015-11-03
41,STL,TOR,15,6,2015-12-05
42,STL,WPG,15,6,2015-11-16
43,LAK,WSH,15,6,2016-02-16
44,TBL,FLA,15,6,2016-01-17
45,NSH,VAN,15,5,2016-03-12
46,OTT,CBJ,15,6,2015-10-14
47,CBJ,OTT,15,6,2016-02-13
48,NYR,FLA,15,6,2016-01-02
49,NJD,CAR,15,6,2016-03-27
0,CGY,VAN,15,6,2016-04-07
1,VAN,DAL,15,6,2015-12-03
2,STL,ANA,15,6,2015-10-29
3,FLA,CBJ,15,6,2015-12-27
4,FLA,DET,15,6,2016-02-08
5,OTT,NJD,15,6,2015-10-22
6,OTT,MTL,15,6,2016-03-19
7,SJS,DAL,15,6,2016-03-26
8,OTT,BOS,15,6,2016-04-09
9,FLA,DAL,15,6,2015-10-24
10,STL,COL,15,6,2016-04-03
11,NSH,DAL,15,6,2016-03-29
12,NYI,PHI,15,6,2016-01-09
13,CHI,WPG,15,6,2016-03-18
14,CAR,CBJ,15,6,2016-01-08
15,EDM,FLA,15,3,2016-01-10
16,DAL,NSH,15,6,2016-03-01
17,MIN,WPG,15,6,2015-11-27
18,LAK,COL,15,6,2016-01-04
19,WPG,CBJ,15,6,2015-12-10
20,WPG,WSH,15,6,2015-12-05
21,ANA,BOS,15,6,2016-01-26
22,EDM,NJD,15,6,2016-02-09
23,WPG,ARI,15,6,2016-01-26
24,BUF,DAL,15,6,2015-11-21
25,NJD,PHI,15,6,2015-12-04
26,PHI,CAR,15,6,2015-11-23
27,WPG,CBJ,15,5,2015-10-31
28,CGY,DET,15,6,2015-10-23
29,COL,LAK,15,6,2016-01-04
30,COL,CBJ,15,6,2015-10-24
31,NYI,TBL,15,6,2016-04-04
32,NSH,SJS,15,6,2016-02-06
33,PIT,NYR,15,6,2016-03-13
34,CHI,ANA,15,6,2015-10-26
35,NJD,ARI,15,6,2015-10-20
36,PHI,DET,14,7,2016-04-06
37,PIT,MIN,14,7,2015-11-17
38,TBL,COL,14,7,2015-10-29
39,WSH,NYR,14,7,2015-12-20
40,ARI,CGY,14,7,2015-11-27
41,DAL,NSH,14,4,2016-02-15
42,DET,OTT,14,7,2016-02-10
43,PHI,NSH,14,6,2016-02-04
44,MIN,PIT,14,7,2015-11-17
45,DET,PIT,14,7,2016-03-26
46,WPG,ARI,14,7,2015-11-21
47,TBL,BOS,14,7,2016-02-28
48,FLA,MIN,14,7,2016-02-28
49,MTL,DET,14,7,2015-12-10
0,ANA,TBL,14,7,2015-11-21
1,LAK,TBL,14,7,2015-12-06
2,CGY,EDM,14,3,2016-04-02
3,FLA,DET,14,7,2015-11-29
4,WSH,OTT,14,3,2015-12-16
5,TBL,WSH,14,4,2015-12-12
6,NSH,DAL,14,4,2016-02-15
7,SJS,EDM,14,4,2015-12-09
8,DAL,PHI,14,7,2015-10-20
9,NYI,VAN,14,4,2016-03-01
10,ANA,LAK,14,4,2016-01-17
11,NSH,MIN,14,7,2015-11-05
12,MIN,STL,14,7,2016-02-06
13,DAL,VAN,14,7,2015-11-27
14,LAK,WSH,14,4,2016-03-09
15,ANA,CGY,14,7,2016-02-21
16,BUF,NYR,14,3,2016-03-08
17,TOR,TBL,14,7,2016-01-27
18,VAN,CGY,14,3,2016-02-19
19,TOR,BUF,14,7,2016-03-07
20,CGY,COL,14,3,2016-03-18
21,PIT,VAN,14,7,2015-11-04
22,NYR,FLA,14,7,2015-11-21
23,WPG,MTL,14,7,2015-11-01
24,MTL,DET,14,7,2016-03-24
25,OTT,PIT,14,6,2016-02-02
26,CGY,VAN,14,3,2016-02-19
27,COL,CGY,14,6,2016-01-02
28,SJS,NJD,14,7,2015-10-16
29,ARI,ANA,14,7,2016-02-05
30,CGY,TOR,14,7,2016-03-21
31,EDM,CBJ,14,7,2016-02-02
32,STL,DAL,14,7,2016-02-16
33,EDM,WPG,14,7,2015-12-21
34,NYR,MTL,14,7,2016-03-26
35,TBL,NJD,14,7,2016-04-02
36,DET,PHI,14,7,2016-04-06
37,MTL,BOS,14,7,2016-01-01
38,ANA,NSH,14,7,2015-11-01
39,CGY,MIN,14,7,2016-04-09
40,TBL,CBJ,14,6,2016-03-13
41,COL,ANA,14,7,2015-10-16
42,MTL,BUF,14,4,2016-03-10
43,NYI,WSH,14,7,2016-02-18
44,LAK,ANA,14,7,2016-02-28
45,LAK,COL,14,7,2016-01-27
46,FLA,WSH,14,7,2015-12-10
47,TBL,PIT,14,7,2016-02-20
48,PIT,CAR,14,7,2016-03-17
49,FLA,MTL,14,4,2016-03-15
0,TOR,CHI,14,6,2016-02-15
1,ANA,OTT,14,4,2016-01-13
2,WPG,DET,14,6,2015-12-29
3,NYR,PIT,13,5,2016-03-13
4,TOR,ARI,13,5,2015-12-22
5,ANA,CBJ,13,5,2016-02-11
6,CBJ,CAR,13,5,2016-01-08
7,BOS,BUF,13,5,2016-01-15
8,VAN,SJS,13,5,2016-03-03
9,EDM,CGY,13,5,2015-10-17
10,FLA,ARI,13,5,2016-03-05
11,OTT,NYI,13,5,2016-01-22
12,CGY,ANA,13,4,2015-12-29
13,PHI,ARI,13,5,2016-02-27
14,CHI,CBJ,13,5,2015-10-17
15,TOR,SJS,13,5,2016-01-09
16,CHI,VAN,13,5,2015-11-21
17,ANA,EDM,13,5,2015-12-31
18,ANA,STL,13,5,2016-01-08
19,LAK,BOS,13,5,2016-03-19
20,VAN,NSH,13,5,2016-03-12
21,DAL,NSH,13,5,2016-03-29
22,LAK,EDM,13,5,2016-03-26
23,CHI,FLA,13,5,2016-01-22
24,BOS,COL,13,5,2015-11-12
25,TOR,PHI,13,5,2016-01-19
26,FLA,MTL,13,5,2015-12-29
27,LAK,CGY,13,5,2015-12-31
28,SJS,CGY,13,4,2016-01-11
29,STL,CGY,13,5,2015-12-19
30,SJS,COL,13,5,2015-11-01
31,NSH,WPG,13,5,2016-01-21
32,MIN,STL,13,5,2015-10-31
33,EDM,FLA,13,5,2016-01-18
34,BOS,ARI,13,5,2015-10-17
35,TBL,CBJ,13,5,2015-12-26
36,ANA,MTL,13,5,2016-03-02
37,WSH,CBJ,13,5,2016-01-19
38,CBJ,OTT,13,5,2015-10-14
39,ARI,WPG,13,5,2016-01-26
40,CBJ,MTL,13,5,2015-12-01
41,BOS,WSH,13,5,2015-11-05
42,VAN,STL,13,5,2015-10-16
43,CAR,CBJ,13,5,2016-03-24
44,CBJ,SJS,13,5,2015-11-03
45,NJD,BOS,13,5,2016-01-08
46,WSH,PIT,13,5,2016-04-07
47,ANA,NYI,13,5,2015-12-21
48,NJD,COL,13,5,2015-12-01
49,OTT,TBL,13,5,2016-02-08
0,CAR,PHI,13,5,2015-11-23
1,WSH,PHI,13,5,2015-11-12
2,TOR,ANA,13,5,2016-01-06
3,DET,FLA,13,5,2016-03-19
4,PIT,WSH,13,5,2015-12-14
5,OTT,CBJ,13,5,2016-02-13
6,SJS,ANA,13,5,2015-12-04
7,BOS,CAR,13,5,2016-04-05
8,NJD,OTT,13,5,2015-12-30
9,ARI,PHI,13,5,2016-02-27
10,NJD,TBL,13,5,2016-04-07
11,WPG,ANA,13,5,2016-01-03
12,PHI,TOR,13,5,2016-01-19
13,SJS,ARI,13,5,2016-04-09
14,LAK,VAN,13,5,2015-10-13
15,STL,LAK,13,5,2016-01-09
16,CBJ,PHI,13,5,2015-12-19
17,VAN,CGY,13,4,2016-04-07
18,OTT,CAR,13,5,2016-03-08
19,LAK,STL,13,5,2015-11-03
20,CBJ,NJD,13,5,2016-02-25
21,CAR,BOS,13,5,2016-04-05
22,NYI,CBJ,13,5,2016-03-31
23,FLA,DET,13,5,2016-03-19
24,ARI,DET,13,5,2015-12-03
25,OTT,NJD,13,5,2015-12-30
26,NYI,NJD,13,5,2015-12-13
27,DET,CGY,13,5,2015-10-23
28,ANA,SJS,13,5,2015-12-04
29,BOS,WSH,13,5,2016-03-05
30,WSH,NYI,13,5,2016-04-05
31,COL,STL,13,5,2016-04-03
32,CBJ,CAR,13,5,2016-01-09
33,NSH,DAL,13,5,2016-03-01
34,DAL,ANA,13,5,2015-10-27
35,FLA,CBJ,13,5,2016-02-27
36,NYI,ANA,13,5,2015-11-13
37,CGY,EDM,13,5,2015-10-17
38,VAN,TOR,12,6,2016-02-13
39,NJD,PIT,12,6,2016-03-06
40,NYR,COL,12,6,2015-11-06
41,EDM,BUF,12,6,2015-12-06
42,EDM,VAN,12,6,2016-03-18
43,SJS,COL,12,6,2015-12-28
44,BOS,DET,12,6,2016-02-14
45,NSH,COL,12,6,2015-12-12
46,DAL,CHI,12,6,2016-02-06
47,CBJ,PIT,12,6,2015-11-13
48,ARI,SJS,12,6,2016-02-13
49,LAK,NSH,12,6,2016-02-20
0,PIT,DET,12,6,2015-12-31
1,NYR,WPG,12,6,2015-10-13
2,BUF,VAN,12,6,2015-12-07
3,BOS,NJD,12,6,2016-03-29
4,FLA,PHI,12,6,2015-10-12
5,MIN,DAL,12,6,2015-11-14
6,DET,NYI,12,6,2016-02-06
7,WSH,EDM,12,6,2015-10-23
8,ANA,PIT,12,2,2016-02-08
9,CHI,DAL,12,6,2016-02-06
10,DET,PHI,12,6,2016-03-15
11,ARI,WPG,12,6,2015-11-21
12,TOR,CHI,12,6,2016-01-15
13,TOR,BOS,12,6,2016-03-26
14,TOR,NJD,12,6,2016-02-04
15,CBJ,NJD,12,5,2015-11-25
16,PHI,WSH,12,6,2016-03-30
17,ARI,NSH,12,6,2016-04-07
18,WPG,NYR,12,6,2015-10-13
19,ANA,LAK,12,6,2016-02-28
20,CHI,ARI,12,6,2016-04-05
21,NSH,COL,12,6,2016-01-08
22,COL,CHI,12,6,2015-12-31
23,NYR,CAR,12,6,2015-11-10
24,CGY,ANA,12,6,2016-02-21
25,MIN,BOS,12,5,2016-02-13
26,NYR,EDM,12,6,2015-12-15
27,NYR,VAN,12,6,2015-12-09
28,FLA,BUF,12,6,2016-01-05
29,MTL,STL,12,6,2016-01-16
30,MIN,ARI,12,6,2015-12-11
31,WPG,SJS,12,6,2016-01-02
32,CHI,ARI,12,6,2016-02-04
33,PIT,NJD,12,6,2015-11-14
34,DET,WSH,12,6,2015-11-18
35,DAL,CGY,12,6,2016-01-25
36,STL,NSH,12,6,2015-11-07
37,NYI,NJD,12,6,2015-11-03
38,STL,ARI,12,6,2016-04-04
39,WSH,NSH,12,6,2016-02-09
40,LAK,SJS,12,6,2015-10-22
41,NYR,NSH,12,5,2015-11-23
42,EDM,DET,12,6,2015-10-21
43,LAK,CHI,12,6,2016-03-14
44,CHI,WSH,12,6,2016-02-28
45,WSH,PHI,12,6,2016-03-30
46,CHI,DAL,12,6,2016-03-11
47,FLA,TBL,12,6,2016-03-26
48,EDM,TOR,12,6,2016-02-11
49,CHI,NSH,12,3,2015-12-10
0,VAN,NYI,12,3,2016-03-01
1,PIT,PHI,12,6,2016-01-21
2,VAN,PHI,12,6,2015-12-17
3,MTL,LAK,12,6,2016-03-03
4,BOS,PIT,12,6,2015-12-18
5,EDM,VAN,12,6,2016-04-06
6,PIT,COL,12,6,2015-11-19
7,DET,PIT,12,6,2015-12-31
8,TOR,PIT,12,6,2015-10-17
9,WPG,DAL,12,6,2016-02-25
10,VAN,LAK,12,6,2015-12-01
11,COL,DET,12,5,2016-02-27
12,NSH,DET,12,6,2015-12-05
13,NYR,MTL,12,6,2015-10-15
14,VAN,DET,12,6,2015-10-24
15,MTL,PHI,12,6,2016-02-02
16,FLA,BUF,12,6,2015-10-15
17,OTT,STL,12,6,2016-03-01
18,CAR,TOR,12,6,2016-02-25
19,SJS,PIT,12,5,2015-11-21
20,BUF,TOR,12,6,2016-03-07
21,TOR,NJD,12,6,2016-04-09
22,MTL,VAN,12,5,2015-11-16
23,MTL,NYR,12,6,2015-10-15
24,CAR,TOR,12,6,2015-11-20
25,MTL,TOR,12,6,2015-10-24
26,FLA,NJD,12,6,2016-03-31
27,TOR,CAR,12,6,2016-02-25
28,LAK,ARI,12,6,2016-02-02
29,CHI,PHI,12,6,2015-10-14
30,NJD,EDM,12,6,2015-11-20
31,ANA,CGY,12,6,2016-02-15
32,DET,FLA,12,6,2016-02-04
33,COL,ARI,12,6,2015-11-05
34,CBJ,MTL,12,6,2016-01-26
35,OTT,TOR,12,6,2016-02-06
36,BUF,NJD,12,6,2016-04-05
37,DET,PHI,12,6,2016-01-17
38,DAL,MIN,12,6,2015-11-14
39,WPG,ARI,12,6,2015-12-31
40,CHI,NSH,12,6,2016-01-12
41,MTL,OTT,12,6,2015-10-11
42,WSH,ARI,12,6,2016-02-22
43,SJS,COL,12,6,2016-01-26
44,BUF,COL,12,5,2016-02-14
45,DAL,MTL,12,6,2015-12-19
46,COL,LAK,12,6,2016-01-27
47,VAN,EDM,12,6,2016-04-06
48,LAK,ANA,12,6,2016-02-04
49,PHI,DAL,12,6,2015-12-11
0,FLA,MTL,12,6,2016-04-05
1,DET,WPG,12,6,2016-03-10
2,DAL,ARI,12,6,2016-03-24
3,CBJ,WSH,12,6,2016-01-02
4,WSH,PHI,12,6,2016-01-27
5,COL,NSH,12,6,2015-12-12
6,VAN,PIT,12,6,2015-11-04
7,OTT,MIN,11,4,2016-03-15
8,ARI,NJD,11,4,2015-10-20
9,OTT,NYR,11,4,2015-11-14
10,TBL,VAN,11,4,2015-12-22
11,CBJ,NYI,11,4,2015-10-20
12,SJS,MIN,11,4,2016-04-05
13,MIN,CHI,11,4,2016-03-29
14,CBJ,CAR,11,4,2016-03-24
15,NYI,BOS,11,4,2015-10-23
16,DAL,CGY,11,4,2015-12-17
17,SJS,FLA,11,4,2015-11-05
